event_cause,latitude,longitude,priority,requires_road_closure,duration_min
vehicle_breakdown,12.9218755,77.6451585,High,0,10.37758925
tree_fall,13.0061469,77.5794348,Low,1,9465.174807333333
vehicle_breakdown,12.95398,77.5852333,Low,0,38.74983805
water_logging,13.0008457,77.6813712,High,0,9348.299649083334
tree_fall,12.9233517,77.5904883,Low,0,293.3450075
vehicle_breakdown,12.9071221,77.6286395,High,0,27.2487523
tree_fall,12.927375,77.5806883,Low,1,2928.5208131000004
tree_fall,12.9463911,77.597326,Low,1,843.3240253
pot_holes,12.9635109,77.6642122,Low,0,9.079776783333333
tree_fall,12.92757,77.5832051,Low,0,2907.6902057166667
others,12.9936273,77.5844677,High,1,106.41915116666668
others,13.0262806,77.5442344,High,0,133.52983253333335
tree_fall,12.9938639,77.5844374,High,0,1829.3005564666666
vehicle_breakdown,12.9188682,77.6687736,High,0,55.541728516666666
vehicle_breakdown,12.9849833,77.5883633,High,0,69.32987603333332
road_conditions,12.9842019,77.7336286,Low,0,61.27697078333333
vehicle_breakdown,12.9848257,77.7527586,Low,0,36.41233746666667
tree_fall,12.9932986,77.5837571,High,0,1819.0784875333334
tree_fall,12.9937523,77.5842482,High,0,1823.1111353833332
tree_fall,12.9938868,77.5841876,High,0,1825.6380844833334
vehicle_breakdown,12.9368467,77.6928653,High,0,10.513486133333334
vehicle_breakdown,12.9513113,77.4994888,Low,0,83.22766023333334
tree_fall,12.9165983,77.583705,Low,0,321.23818236666665
vehicle_breakdown,12.9740913,77.5452252,High,0,44.18835605
vehicle_breakdown,12.9740971,77.5449011,High,0,41.797760616666665
vehicle_breakdown,12.9688926,77.569795,Low,0,26.158530816666666
pot_holes,12.9838737,77.5286068,High,0,8639.783111666668
pot_holes,12.9161187,77.5856548,Low,0,5754.0936329333335
others,12.9449039,77.4949618,Low,0,15.88912515
tree_fall,12.9873133,77.6163481,Low,0,116.8119772
vehicle_breakdown,12.8482637,77.6713737,Low,0,83.47854003333333
vehicle_breakdown,12.96672,77.6093294,High,0,52.75157615
vehicle_breakdown,13.0253205,77.6400845,High,0,74.82553706666666
water_logging,12.9641056,77.5825203,High,0,8282.429940516666
vehicle_breakdown,12.9480512,77.5343585,High,0,47.68990556666667
tree_fall,13.0078566,77.5920655,Low,0,8.620181266666666
tree_fall,13.0022504,77.5722138,Low,1,8761.173063133332
vehicle_breakdown,12.9238693,77.5536044,High,0,141.02791743333333
construction,13.0331905,77.5901915,High,0,545.3734030166667
tree_fall,12.9392829,77.5596125,Low,1,61.79462865
vehicle_breakdown,12.9614398,77.5600867,High,0,102.3569732
vehicle_breakdown,13.114305,77.60655,High,0,102.53794968333334
vehicle_breakdown,12.9900159,77.5025425,High,0,106.48373361666667
vehicle_breakdown,12.9216832,77.6199372,High,1,75.3592525
pot_holes,13.0161873,77.7093516,Low,1,365.2268505833334
water_logging,12.938565,77.6979933,High,0,49.972616783333336
vehicle_breakdown,12.9690624,77.5872736,High,1,111.6212591
vehicle_breakdown,12.8700974,77.6533824,High,0,52.83199456666667
water_logging,12.9211317,77.6627683,High,0,9653.8610076
others,12.9793286,77.5105419,Low,0,81.46960444999999
others,12.94819783,77.53467664,High,0,15.3042995
tree_fall,13.022765,77.6014354,Low,1,178.15932105
construction,13.1511992,77.620242,High,0,31.910260883333333
pot_holes,13.1212507,77.6179465,Low,0,1510.57253935
vehicle_breakdown,12.9664142,77.5125512,Low,0,11.80107465
vehicle_breakdown,12.9758786,77.5643384,High,0,24.504338233333332
